ticket_id,customer_id,created_at,text,category,channel,priority,customer_tier,product
TKT-100485,CUST-5945,2025-08-23 17:50:52,I need assistance with invoice incorrect amount. I've tried multiple times but no luck.,Billing,Email,High,Basic,Product B
TKT-100271,CUST-5945,2025-08-23 19:55:21,"Hello, I'm having an issue with account locked after failed login. I've already contacted support before about this.",Account,Chat,High,Free,Service Y
TKT-100378,CUST-8912,2025-08-24 11:44:28,Can someone help me with want to return product. This is the second time this has happened.,Refund,Chat,Medium,Basic,Product A
TKT-100441,CUST-6167,2025-08-24 21:37:01,I'm experiencing a problem with product defective out of box. Can you please look into this?,Product,Web Form,High,Enterprise,Product B
TKT-100444,CUST-6924,2025-08-25 05:22:15,"Hi, I need help with refund taking too long. This is affecting my work.",Refund,Phone,Medium,Premium,Product B
TKT-100340,CUST-5135,2025-08-25 07:26:31,"Hi, I need help with features not loading properly. I've tried multiple times but no luck.",Technical,Phone,High,Enterprise,Product D
TKT-100465,CUST-9165,2025-08-26 08:36:50,I'm writing because mobile app not syncing. This is the second time this has happened.,Technical,Phone,Critical,Free,Product C
TKT-100470,CUST-8786,2025-08-26 10:05:42,"Hi, I need help with delivery to wrong address. Can you please look into this? I'm really frustrated about this.",Delivery,Chat,High,Free,Product B
TKT-100125,CUST-7843,2025-08-27 01:57:58,I need assistance with subscription auto-renewed unwanted. I need this resolved soon.,Billing,Phone,Low,Enterprise,Product A
TKT-100147,CUST-9647,2025-08-27 03:05:58,There's an issue with features not loading properly. Can you please look into this?,Technical,Web Form,Low,Premium,Product B
TKT-100101,CUST-2035,2025-08-28 05:06:33,"Hello, I'm having an issue with product not as described. I've already contacted support before about this.",Product,Web Form,High,Enterprise,Product A
TKT-100315,CUST-2705,2025-08-29 12:53:46,I need assistance with product not as described. I've tried multiple times but no luck.,Product,Web Form,Medium,Premium,Service Y
TKT-100443,CUST-8490,2025-08-29 13:40:24,I'm writing because tracking number not working. I've tried multiple times but no luck.,Delivery,Email,Critical,Premium,Service Y
TKT-100097,CUST-3877,2025-08-29 17:08:14,There's an issue with missing items from order. I need this resolved soon. I'm really disappointed about this.,Delivery,Chat,Medium,Premium,Service X
TKT-100352,CUST-9700,2025-08-30 11:58:33,I'm experiencing a problem with mobile app not syncing. This is the second time this has happened.,Technical,Chat,Low,Free,Service Y
TKT-100037,CUST-4228,2025-08-31 16:45:09,I'm writing because cannot reset password. Can you please look into this?,Account,Phone,Critical,Free,Service Y
TKT-100223,CUST-1149,2025-09-01 10:35:05,There's an issue with promo code not applied. I've tried multiple times but no luck. I'm really frustrated about this.,Billing,Chat,Critical,Premium,Product A
TKT-100464,CUST-8183,2025-09-01 15:24:47,"Hello, I'm having an issue with product defective out of box. I've already contacted support before about this. This is immediately!",Product,Email,Medium,Free,Product B
TKT-100321,CUST-9849,2025-09-02 08:21:48,Can someone help me with wrong item received. I've already contacted support before about this.,Delivery,Phone,High,Premium,Product B
TKT-100348,CUST-8736,2025-09-02 08:53:13,I need assistance with refund to wrong payment method. This has been happening for the past few days.,Refund,Chat,Low,Enterprise,Service X
TKT-100123,CUST-5186,2025-09-02 13:39:38,I'm writing because error message when saving. I've tried multiple times but no luck.,Technical,Phone,High,Free,Product A
TKT-100326,CUST-4727,2025-09-03 19:17:05,Can someone help me with restocking fee too high. This is the second time this has happened. I'm really terrible about this.,Refund,Email,Critical,Enterprise,Service X
TKT-100164,CUST-3852,2025-09-04 09:32:22,I'm writing because product not as described. I've tried multiple times but no luck.,Product,Phone,Medium,Free,Product B
TKT-100403,CUST-6851,2025-09-04 20:00:35,Can someone help me with refund not received. This is affecting my work.,Billing,Chat,Medium,Free,Product C
TKT-100234,CUST-3527,2025-09-05 22:33:05,I'm writing because wrong item received. I've already contacted support before about this.,Delivery,Web Form,High,Premium,Product A
TKT-100415,CUST-2938,2025-09-06 14:01:25,I need assistance with partial refund received. I've already contacted support before about this. This is immediately!,Refund,Chat,Critical,Premium,Service Y
TKT-100316,CUST-6500,2025-09-06 17:07:38,I'm writing because damaged product arrived. I've already contacted support before about this. I'm really frustrated about this.,Delivery,Web Form,Low,Premium,Product B
TKT-100371,CUST-9166,2025-09-06 21:33:03,"Hi, I need help with want to change email address. This is the second time this has happened.",Account,Web Form,High,Free,Product D
TKT-100462,CUST-5454,2025-09-06 23:11:19,I'm writing because refund taking too long. Can you please look into this?,Refund,Phone,High,Enterprise,Product B
TKT-100466,CUST-4148,2025-09-07 03:33:59,Can someone help me with app crashes on startup. I've tried multiple times but no luck. This is emergency!,Technical,Phone,Critical,Free,Product A
TKT-100075,CUST-1423,2025-09-07 04:30:41,I need assistance with promo code not applied. This is affecting my work.,Billing,Email,Medium,Free,Service Y
TKT-100071,CUST-7693,2025-09-07 07:43:57,"Hello, I'm having an issue with features not loading properly. This has been happening for the past few days.",Technical,Web Form,Critical,Premium,Product A
TKT-100121,CUST-7785,2025-09-07 09:26:05,I need assistance with cannot delete account. I need this resolved soon.,Account,Phone,Medium,Free,Product C
TKT-100394,CUST-9736,2025-09-07 12:44:06,I'm writing because unexpected charge on credit card. Can you please look into this?,Billing,Email,Low,Basic,Service Y
TKT-100235,CUST-3170,2025-09-09 04:22:15,I'm experiencing a problem with tracking number not working. This has been happening for the past few days.,Delivery,Email,Medium,Enterprise,Product D
TKT-100438,CUST-3924,2025-09-09 10:48:12,"Hi, I need help with restocking fee too high. Can you please look into this?",Refund,Web Form,High,Premium,Product B
TKT-100001,CUST-9928,2025-09-09 13:45:58,There's an issue with app crashes on startup. I've already contacted support before about this.,Technical,Web Form,Medium,Enterprise,Service X
TKT-100455,CUST-2702,2025-09-09 21:47:41,I'm writing because two-factor authentication issues. This has been happening for the past few days. I'm really terrible about this.,Account,Phone,Medium,Free,Service Y
TKT-100322,CUST-1893,2025-09-09 23:21:34,Can someone help me with two-factor authentication issues. I've tried multiple times but no luck.,Account,Phone,Low,Enterprise,Product A
TKT-100421,CUST-9246,2025-09-10 01:00:45,I'm writing because two-factor authentication issues. Can you please look into this?,Account,Email,Low,Enterprise,Service Y
TKT-100219,CUST-7073,2025-09-10 10:59:25,I'm experiencing a problem with return label not working. I've tried multiple times but no luck.,Refund,Phone,Critical,Free,Service X
TKT-100192,CUST-3252,2025-09-10 17:51:28,There's an issue with missing items from order. This is the second time this has happened.,Delivery,Email,Medium,Enterprise,Service Y
TKT-100210,CUST-1797,2025-09-10 20:52:35,There's an issue with tax calculation wrong. This is the second time this has happened.,Billing,Chat,Low,Enterprise,Product D
TKT-100366,CUST-3969,2025-09-11 09:02:36,There's an issue with quality issues with material. I need this resolved soon.,Product,Web Form,High,Free,Service Y
TKT-100482,CUST-7997,2025-09-11 16:49:26,Can someone help me with refund to wrong payment method. I've already contacted support before about this.,Refund,Email,Medium,Basic,Service X
TKT-100398,CUST-8170,2025-09-11 19:30:29,I'm experiencing a problem with partial refund received. This is the second time this has happened.,Refund,Web Form,Critical,Free,Product D
TKT-100383,CUST-3636,2025-09-11 20:57:18,I'm writing because account locked after failed login. This is the second time this has happened. This is immediately!,Account,Phone,High,Basic,Product A
TKT-100034,CUST-4728,2025-09-12 03:58:32,I'm experiencing a problem with tax calculation wrong. This is affecting my work. I'm really unacceptable about this.,Billing,Chat,Low,Basic,Product D
TKT-100357,CUST-7230,2025-09-12 04:03:10,Can someone help me with charged twice for subscription. I need this resolved soon.,Billing,Email,High,Enterprise,Service Y
TKT-100416,CUST-7732,2025-09-13 02:37:33,I need assistance with return label not working. I've tried multiple times but no luck.,Refund,Email,Medium,Free,Product B
TKT-100242,CUST-1440,2025-09-13 04:59:53,I need assistance with missing parts in package. I've tried multiple times but no luck.,Product,Web Form,Medium,Enterprise,Product C
TKT-100363,CUST-3793,2025-09-13 13:41:42,There's an issue with charged twice for subscription. I've already contacted support before about this.,Billing,Phone,High,Enterprise,Service X
TKT-100249,CUST-4389,2025-09-13 14:25:20,I'm experiencing a problem with refund taking too long. I need this resolved soon.,Refund,Web Form,High,Enterprise,Product A
TKT-100200,CUST-6095,2025-09-13 23:44:02,I need assistance with wrong item received. I've already contacted support before about this.,Delivery,Email,High,Premium,Service X
TKT-100450,CUST-5663,2025-09-14 12:44:55,I need assistance with refund to wrong payment method. I've tried multiple times but no luck. I'm really awful about this.,Refund,Phone,High,Enterprise,Service Y
TKT-100115,CUST-1842,2025-09-14 17:02:30,I'm writing because package marked delivered but not received. I need this resolved soon.,Delivery,Phone,High,Premium,Product A
TKT-100087,CUST-8213,2025-09-15 10:23:11,I'm writing because product not as described. This is the second time this has happened.,Product,Email,Critical,Free,Service Y
TKT-100208,CUST-9920,2025-09-15 15:08:31,I'm experiencing a problem with app crashes on startup. I need this resolved soon.,Technical,Web Form,Critical,Basic,Product B
TKT-100346,CUST-6499,2025-09-15 17:43:17,I'm writing because missing items from order. I've tried multiple times but no luck.,Delivery,Email,Medium,Premium,Product B
TKT-100422,CUST-8069,2025-09-16 04:01:23,I'm writing because instructions unclear or missing. I've already contacted support before about this.,Product,Web Form,High,Free,Service Y
TKT-100295,CUST-3141,2025-09-16 17:46:57,"Hi, I need help with cannot reset password. I need this resolved soon.",Account,Chat,High,Premium,Product C
TKT-100297,CUST-2978,2025-09-17 05:00:21,I'm experiencing a problem with product defective out of box. I need this resolved soon. This is asap!,Product,Phone,Medium,Enterprise,Product C
TKT-100305,CUST-1319,2025-09-17 09:51:44,I'm writing because slow performance issues. Can you please look into this?,Technical,Web Form,High,Enterprise,Service X
TKT-100428,CUST-3650,2025-09-17 13:27:31,Can someone help me with want to return product. This is the second time this has happened.,Refund,Email,Medium,Enterprise,Product C
TKT-100102,CUST-4846,2025-09-17 20:50:21,"Hi, I need help with invoice incorrect amount. This has been happening for the past few days.",Billing,Chat,Critical,Enterprise,Product C
TKT-100088,CUST-7512,2025-09-18 15:45:14,I'm experiencing a problem with refund taking too long. Can you please look into this? I'm really disappointed about this.,Refund,Email,High,Enterprise,Product C
TKT-100496,CUST-2405,2025-09-18 22:56:18,There's an issue with refund not received. This is the second time this has happened. This is not working!,Billing,Email,Low,Basic,Service X
TKT-100331,CUST-2654,2025-09-19 09:13:32,"Hi, I need help with instructions unclear or missing. This has been happening for the past few days.",Product,Phone,High,Enterprise,Product C
TKT-100111,CUST-6327,2025-09-19 09:48:17,I need assistance with error message when saving. Can you please look into this?,Technical,Web Form,High,Enterprise,Service X
TKT-100226,CUST-7502,2025-09-19 12:14:23,I'm experiencing a problem with error message when saving. This is the second time this has happened.,Technical,Email,High,Enterprise,Product D
TKT-100069,CUST-4697,2025-09-19 13:32:10,I'm writing because product not as described. I need this resolved soon. This is emergency!,Product,Web Form,Critical,Enterprise,Product C
TKT-100343,CUST-7620,2025-09-19 16:41:50,I'm writing because app crashes on startup. This is the second time this has happened.,Technical,Phone,Medium,Free,Service Y
TKT-100055,CUST-8619,2025-09-20 03:17:40,I need assistance with API returning errors. I've tried multiple times but no luck.,Technical,Phone,High,Basic,Service X
TKT-100048,CUST-8633,2025-09-20 05:07:17,I'm experiencing a problem with cannot login to account. Can you please look into this?,Technical,Web Form,Low,Basic,Product D
TKT-100358,CUST-2654,2025-09-20 06:30:42,I'm experiencing a problem with restocking fee too high. I need this resolved soon.,Refund,Phone,Medium,Enterprise,Product A
TKT-100487,CUST-5198,2025-09-20 19:23:07,"Hello, I'm having an issue with damaged product arrived. I've tried multiple times but no luck.",Delivery,Phone,Low,Enterprise,Service X
TKT-100399,CUST-9941,2025-09-20 20:19:12,I'm writing because features not loading properly. This is the second time this has happened.,Technical,Phone,Medium,Premium,Service Y
TKT-100471,CUST-1983,2025-09-21 02:15:36,I'm writing because subscription auto-renewed unwanted. I've already contacted support before about this.,Billing,Email,High,Basic,Service Y
TKT-100388,CUST-1654,2025-09-21 16:12:55,There's an issue with package not delivered on time. I've tried multiple times but no luck.,Delivery,Chat,High,Free,Service Y
TKT-100405,CUST-8145,2025-09-23 01:31:31,There's an issue with wrong item received. I've already contacted support before about this.,Delivery,Phone,High,Basic,Service Y
TKT-100499,CUST-1869,2025-09-23 08:47:00,I need assistance with wrong item received. This is affecting my work.,Delivery,Web Form,Low,Free,Product D
TKT-100387,CUST-1665,2025-09-24 15:28:57,"Hi, I need help with want to return product. I need this resolved soon. This is emergency!",Refund,Web Form,High,Premium,Product B
TKT-100036,CUST-8149,2025-09-24 20:24:56,I'm writing because package not delivered on time. This is affecting my work. This is broken!,Delivery,Email,Critical,Basic,Product C
TKT-100410,CUST-8921,2025-09-24 22:54:35,"Hello, I'm having an issue with warranty claim process. I've already contacted support before about this.",Product,Phone,Low,Basic,Product D
TKT-100214,CUST-8586,2025-09-25 19:21:35,There's an issue with quality issues with material. I've tried multiple times but no luck. This is not working!,Product,Email,Critical,Enterprise,Service X
TKT-100402,CUST-1891,2025-09-25 19:51:04,I'm writing because replacement part needed. Can you please look into this? This is broken!,Product,Web Form,Low,Premium,Service Y
TKT-100162,CUST-5264,2025-09-26 04:43:49,"Hi, I need help with quality issues with material. This is affecting my work.",Product,Web Form,Medium,Premium,Service Y
TKT-100195,CUST-2758,2025-09-26 05:52:08,"Hi, I need help with partial refund received. This is affecting my work.",Refund,Phone,High,Enterprise,Service Y
TKT-100023,CUST-6138,2025-09-26 21:21:41,I need assistance with app crashes on startup. This has been happening for the past few days.,Technical,Email,Low,Enterprise,Service X
TKT-100447,CUST-7906,2025-09-27 23:59:44,"Hi, I need help with refund taking too long. I've tried multiple times but no luck.",Refund,Web Form,Medium,Premium,Product D
TKT-100254,CUST-6134,2025-09-28 04:21:48,Can someone help me with invoice incorrect amount. Can you please look into this?,Billing,Web Form,Critical,Free,Product C
TKT-100129,CUST-3902,2025-09-28 05:13:00,There's an issue with missing parts in package. This has been happening for the past few days.,Product,Web Form,Critical,Enterprise,Service Y
TKT-100057,CUST-5941,2025-09-28 09:47:14,"Hello, I'm having an issue with warranty claim process. This has been happening for the past few days.",Product,Email,Low,Premium,Service X
TKT-100180,CUST-3245,2025-09-28 12:55:57,"Hi, I need help with quality issues with material. This has been happening for the past few days.",Product,Phone,Critical,Enterprise,Product B
TKT-100311,CUST-6301,2025-09-28 23:19:43,I'm writing because mobile app not syncing. This is the second time this has happened.,Technical,Email,Low,Basic,Service X
TKT-100440,CUST-2747,2025-09-29 22:17:11,I'm experiencing a problem with slow performance issues. I've tried multiple times but no luck.,Technical,Email,Low,Enterprise,Service X
TKT-100186,CUST-3837,2025-09-30 00:43:07,Can someone help me with missing items from order. This is affecting my work.,Delivery,Web Form,High,Premium,Service Y
TKT-100498,CUST-3315,2025-09-30 07:55:26,I need assistance with missing parts in package. I need this resolved soon. I'm really disappointed about this.,Product,Email,Critical,Free,Product C
TKT-100171,CUST-9938,2025-09-30 15:41:41,"Hi, I need help with quality issues with material. I need this resolved soon.",Product,Phone,High,Enterprise,Product B
TKT-100229,CUST-5593,2025-09-30 18:19:27,"Hi, I need help with refund to wrong payment method. This has been happening for the past few days.",Refund,Email,Medium,Premium,Product A
TKT-100022,CUST-8454,2025-10-01 04:23:27,I'm experiencing a problem with cannot reset password. This is the second time this has happened. This is asap!,Account,Phone,Critical,Enterprise,Product B
TKT-100205,CUST-9866,2025-10-01 22:20:10,There's an issue with charged twice for subscription. This has been happening for the past few days.,Billing,Email,Low,Enterprise,Product A
TKT-100201,CUST-9998,2025-10-02 11:04:17,I'm experiencing a problem with API returning errors. I need this resolved soon. I'm really terrible about this.,Technical,Web Form,Medium,Basic,Service Y
TKT-100063,CUST-8753,2025-10-02 14:17:57,I need assistance with refund taking too long. This is affecting my work.,Refund,Phone,Critical,Premium,Product C
TKT-100247,CUST-4621,2025-10-02 16:02:50,There's an issue with refund to wrong payment method. Can you please look into this?,Refund,Web Form,High,Enterprise,Product D
TKT-100082,CUST-3522,2025-10-03 03:42:34,There's an issue with tax calculation wrong. This is the second time this has happened.,Billing,Web Form,High,Premium,Product D
TKT-100260,CUST-9115,2025-10-03 04:19:34,I need assistance with wrong item received. I've already contacted support before about this.,Delivery,Email,Low,Premium,Service X
TKT-100459,CUST-3551,2025-10-03 14:11:51,Can someone help me with tax calculation wrong. This is affecting my work.,Billing,Phone,Low,Free,Service X
TKT-100221,CUST-9005,2025-10-04 02:40:59,I'm experiencing a problem with replacement part needed. This is affecting my work. I'm really awful about this.,Product,Web Form,Critical,Basic,Service Y
TKT-100072,CUST-4824,2025-10-04 08:58:48,Can someone help me with partial refund received. This has been happening for the past few days.,Refund,Phone,Medium,Enterprise,Product A
TKT-100411,CUST-7358,2025-10-04 10:09:44,I'm writing because damaged product arrived. This is affecting my work. I'm really terrible about this.,Delivery,Web Form,Critical,Free,Product A
TKT-100211,CUST-6224,2025-10-04 21:20:54,I'm writing because app crashes on startup. I've already contacted support before about this. I'm really angry about this.,Technical,Phone,Medium,Premium,Product B
TKT-100309,CUST-1462,2025-10-05 06:54:13,I'm experiencing a problem with package marked delivered but not received. Can you please look into this?,Delivery,Phone,Medium,Basic,Product D
TKT-100432,CUST-7474,2025-10-05 18:35:28,I'm experiencing a problem with unexpected charge on credit card. I've already contacted support before about this. This is asap!,Billing,Web Form,Medium,Free,Service Y
TKT-100231,CUST-3292,2025-10-05 23:50:33,I'm experiencing a problem with cannot delete account. I need this resolved soon.,Account,Email,High,Free,Product A
TKT-100014,CUST-3060,2025-10-06 01:34:04,I'm writing because product defective out of box. Can you please look into this? This is urgent!,Product,Chat,Critical,Basic,Product C
TKT-100025,CUST-9565,2025-10-07 00:39:10,Can someone help me with product defective out of box. I've already contacted support before about this.,Product,Phone,High,Basic,Service Y
TKT-100317,CUST-8179,2025-10-07 15:01:09,"Hi, I need help with subscription auto-renewed unwanted. I need this resolved soon. This is urgent!",Billing,Web Form,Medium,Enterprise,Product D
TKT-100281,CUST-5693,2025-10-09 21:38:35,Can someone help me with charged twice for subscription. Can you please look into this?,Billing,Web Form,Critical,Enterprise,Product A
TKT-100362,CUST-5760,2025-10-10 06:01:22,I'm writing because payment method declined. This has been happening for the past few days.,Billing,Phone,High,Enterprise,Service Y
TKT-100029,CUST-5325,2025-10-10 07:29:43,I'm experiencing a problem with unexpected charge on credit card. I've tried multiple times but no luck. I'm really awful about this.,Billing,Web Form,High,Free,Product A
TKT-100156,CUST-6262,2025-10-10 17:14:10,I need assistance with promo code not applied. This is affecting my work. I'm really angry about this.,Billing,Email,Low,Premium,Service Y
TKT-100265,CUST-7743,2025-10-10 19:55:29,"Hello, I'm having an issue with warranty claim process. This is the second time this has happened.",Product,Email,High,Basic,Service Y
TKT-100008,CUST-5339,2025-10-10 21:38:35,Can someone help me with mobile app not syncing. I've tried multiple times but no luck. This is broken!,Technical,Chat,Medium,Premium,Service Y
TKT-100364,CUST-2865,2025-10-11 00:05:57,I'm experiencing a problem with want to return product. I've tried multiple times but no luck.,Refund,Web Form,Critical,Enterprise,Product C
TKT-100238,CUST-2260,2025-10-11 00:31:12,Can someone help me with cannot login to account. This is the second time this has happened. This is immediately!,Technical,Phone,High,Basic,Service Y
TKT-100445,CUST-4449,2025-10-11 04:50:46,Can someone help me with product not as described. I need this resolved soon.,Product,Web Form,High,Premium,Product D
TKT-100007,CUST-1916,2025-10-11 07:10:38,There's an issue with restocking fee too high. This is affecting my work.,Refund,Chat,Low,Premium,Product D
TKT-100144,CUST-8391,2025-10-11 19:27:40,"Hi, I need help with missing parts in package. I've tried multiple times but no luck.",Product,Phone,Low,Enterprise,Product A
TKT-100002,CUST-3547,2025-10-12 18:47:11,I'm experiencing a problem with unexpected charge on credit card. This is affecting my work.,Billing,Chat,High,Free,Product A
TKT-100446,CUST-2636,2025-10-13 01:00:08,There's an issue with features not loading properly. I've tried multiple times but no luck.,Technical,Phone,Medium,Enterprise,Product D
TKT-100179,CUST-7453,2025-10-13 01:23:45,"Hello, I'm having an issue with warranty claim process. This has been happening for the past few days.",Product,Phone,High,Premium,Product B
TKT-100047,CUST-3267,2025-10-14 03:20:53,I need assistance with damaged product arrived. This has been happening for the past few days.,Delivery,Chat,Medium,Enterprise,Service Y
TKT-100040,CUST-8618,2025-10-14 08:28:11,There's an issue with want to change email address. This is affecting my work.,Account,Web Form,Critical,Basic,Service X
TKT-100206,CUST-7887,2025-10-14 09:14:04,There's an issue with features not loading properly. I've already contacted support before about this.,Technical,Phone,Critical,Enterprise,Product D
TKT-100492,CUST-9980,2025-10-14 20:51:55,There's an issue with account locked after failed login. This has been happening for the past few days. This is emergency!,Account,Web Form,High,Free,Product D
TKT-100453,CUST-6950,2025-10-15 03:39:43,I'm experiencing a problem with delivery to wrong address. I need this resolved soon.,Delivery,Web Form,Critical,Basic,Product B
TKT-100091,CUST-3950,2025-10-15 12:21:05,There's an issue with tracking number not working. This is the second time this has happened. I'm really terrible about this.,Delivery,Chat,Medium,Free,Service X
TKT-100323,CUST-1421,2025-10-15 17:27:22,"Hello, I'm having an issue with restocking fee too high. This has been happening for the past few days.",Refund,Chat,Medium,Premium,Product A
TKT-100319,CUST-3787,2025-10-15 19:00:28,"Hi, I need help with damaged product arrived. This is affecting my work.",Delivery,Web Form,Medium,Free,Service X
TKT-100157,CUST-8272,2025-10-15 22:10:02,"Hello, I'm having an issue with two-factor authentication issues. I've already contacted support before about this.",Account,Phone,Critical,Free,Service Y
TKT-100354,CUST-6535,2025-10-16 09:14:11,I need assistance with tracking number not working. Can you please look into this?,Delivery,Web Form,Medium,Premium,Product D
TKT-100349,CUST-3346,2025-10-16 09:53:58,I need assistance with unexpected charge on credit card. I need this resolved soon. This is asap!,Billing,Phone,Medium,Free,Product D
TKT-100188,CUST-8861,2025-10-16 10:31:08,Can someone help me with package marked delivered but not received. This is affecting my work. This is broken!,Delivery,Phone,High,Premium,Product A
TKT-100448,CUST-3676,2025-10-16 17:09:01,Can someone help me with replacement part needed. This has been happening for the past few days.,Product,Email,Medium,Premium,Product D
TKT-100148,CUST-8489,2025-10-16 21:58:33,I'm writing because refund not received. Can you please look into this?,Billing,Email,Low,Enterprise,Service X
TKT-100313,CUST-8982,2025-10-17 00:37:41,Can someone help me with features not loading properly. This is the second time this has happened.,Technical,Phone,Medium,Premium,Product B
TKT-100256,CUST-7852,2025-10-17 16:14:39,I need assistance with mobile app not syncing. I need this resolved soon.,Technical,Chat,Critical,Enterprise,Product B
TKT-100138,CUST-4711,2025-10-18 07:18:14,Can someone help me with mobile app not syncing. I've tried multiple times but no luck.,Technical,Chat,Medium,Free,Product C
TKT-100336,CUST-4158,2025-10-18 17:03:16,"Hi, I need help with quality issues with material. I've tried multiple times but no luck. I'm really terrible about this.",Product,Chat,Low,Basic,Product A
TKT-100120,CUST-1861,2025-10-18 19:16:34,I need assistance with package marked delivered but not received. This has been happening for the past few days.,Delivery,Chat,Medium,Free,Service Y
TKT-100275,CUST-3181,2025-10-19 02:40:51,I'm writing because wrong item received. This is the second time this has happened.,Delivery,Chat,Low,Free,Service X
TKT-100258,CUST-4196,2025-10-19 07:59:18,Can someone help me with two-factor authentication issues. I've tried multiple times but no luck. This is urgent!,Account,Web Form,Critical,Enterprise,Service Y
TKT-100079,CUST-9889,2025-10-20 21:32:43,"Hi, I need help with want to change email address. I've already contacted support before about this.",Account,Web Form,Critical,Free,Product B
TKT-100484,CUST-5162,2025-10-20 22:18:38,I need assistance with slow performance issues. I've already contacted support before about this.,Technical,Phone,Critical,Enterprise,Product D
TKT-100268,CUST-6869,2025-10-21 14:53:32,Can someone help me with payment method declined. I've already contacted support before about this.,Billing,Email,Critical,Basic,Product D
TKT-100053,CUST-7906,2025-10-21 15:09:58,Can someone help me with email not receiving notifications. This is affecting my work.,Account,Phone,Low,Enterprise,Product A
TKT-100198,CUST-1111,2025-10-21 17:38:45,I'm experiencing a problem with cannot delete account. I've tried multiple times but no luck. I'm really unacceptable about this.,Account,Phone,Critical,Basic,Product D
TKT-100203,CUST-9361,2025-10-21 18:28:15,Can someone help me with quality issues with material. This has been happening for the past few days. This is emergency!,Product,Web Form,Low,Enterprise,Product B
TKT-100035,CUST-9785,2025-10-21 19:05:39,I need assistance with invoice incorrect amount. I need this resolved soon.,Billing,Phone,Low,Free,Product C
TKT-100391,CUST-1144,2025-10-22 10:44:22,Can someone help me with damaged product arrived. Can you please look into this? I'm really terrible about this.,Delivery,Email,High,Enterprise,Product B
TKT-100350,CUST-5481,2025-10-22 13:57:42,"Hi, I need help with mobile app not syncing. I need this resolved soon.",Technical,Chat,Medium,Basic,Product D
TKT-100113,CUST-7992,2025-10-23 17:11:14,"Hi, I need help with profile information not updating. This is affecting my work.",Account,Phone,High,Premium,Product B
TKT-100020,CUST-5563,2025-10-23 18:47:23,Can someone help me with refund not received. I've tried multiple times but no luck. I'm really angry about this.,Billing,Web Form,Medium,Free,Product D
TKT-100084,CUST-5891,2025-10-23 21:15:49,I'm experiencing a problem with product not as described. I've already contacted support before about this.,Product,Web Form,Medium,Enterprise,Service X
TKT-100375,CUST-2741,2025-10-24 03:39:55,I'm experiencing a problem with partial refund received. I've already contacted support before about this.,Refund,Email,Medium,Enterprise,Product B
